x,y,z,vll_gwc,vll_gsc,fll_gsc,nn_gsc,nn_gwc,m
20281,7866,26535,1,1,1,1,1,9
20231,7684,25365,1,1,1,1,1,47
19467,7658,25907,1,1,1,1,1,9
18768,8076,27864,1,1,1,1,1,47
19254,8584,26901,1,1,1,1,1,24
19036,8380,26971,1,1,1,1,1,25
19878,9913,25208,1,1,1,1,1,6
19220,12049,28715,1,1,1,1,1,17
19112,12081,29197,1,1,1,1,1,17
19425,9622,32536,1,1,1,1,1,15
19424,9816,32559,1,1,1,1,1,6
18755,10922,33406,1,1,1,1,1,5
20303,10746,33869,1,1,1,1,1,18
20044,10229,33554,1,1,1,1,1,47
19628,11683,33283,1,1,1,1,1,25
19699,11080,33265,1,1,1,1,1,47
18882,11386,33758,1,1,1,1,1,7
18942,12003,33970,1,1,1,1,1,39
19037,11963,34120,1,1,1,1,1,10
19640,11994,33210,1,1,1,1,1,27
20205,12309,33450,1,1,1,1,1,27
19563,12448,33222,1,1,1,1,1,19
20699,12230,33653,1,1,1,1,1,13
20538,11399,33934,1,1,1,1,1,13
20317,11424,33546,1,1,1,1,1,13
21678,9534,33890,1,1,1,1,1,12
20701,10754,31803,1,1,1,1,1,13
20880,11304,31925,1,1,1,1,1,6
24638,9807,33347,1,1,1,1,1,28
22148,9114,33704,1,1,1,1,1,20
21968,9092,33922,1,1,1,1,1,8
22351,9205,34186,1,1,1,1,1,6
21132,8489,33714,1,1,1,1,1,25
21754,8585,33642,1,1,1,1,1,23
21064,8927,33948,1,1,1,1,1,24
21522,7949,33529,1,1,1,1,1,16
21116,7551,33370,1,1,1,1,1,47
20813,6612,34149,1,1,1,1,1,5
